month,passenger_count,trip_duration
11,0,00:23:25
11,1,00:14:00
11,2,00:14:10
11,3,00:14:34
11,4,00:14:05
11,5,00:14:24
11,6,00:14:12
11,7,00:06:14
11,8,00:07:18
11,9,00:09:03
